PROVINCIA;NUM.CAND.;PARTIDO;SIGLAS
BARCELONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
BARCELONA;2;PARTIT POPULAR/PARTIDO POPULAR;PP
BARCELONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;PACMA
BARCELONA;4;CIUTADANS-PARTIDO DE LA CIUDADANIA;C’s
BARCELONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ;ERC-CatSí
BARCELONA;6;DIÀLEG REPUBLICÀ;DIÀLEG
BARCELONA;7;CANDIDATURA D’UNITAT POPULAR;CUP
BARCELONA;8;PER UN MÓN MÉS JUST;PUM+J
BARCELONA;9;CATALUNYA EN COMÚ-PODEM;CatComú-Podem
BARCELONA;10;JUNTS PER CATALUNYA;JUNTSxCAT
BARCELONA;11;LA FAMILIA PAZ Y LIBERTAD;LA FAMILIA
BARCELONA;12;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GRUPO VERDE
BARCELONA;13;DEMOCRACIA NACIONAL;DN
BARCELONA;14;PARTIT FAMILIA i VIDA;PFiV
BARCELONA;15;CONVERGENTS;CNV
BARCELONA;16;UNIDOS y SOCIALISTAS+por la Democracia;UNIDOS-DEf-Socialistas
