PROVINCIA;NUM.CAND.;PARTIDO;SIGLAS
GIRONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
GIRONA;2;PARTIT POPULAR / PARTIDO POPULAR (PP);PP
GIRONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL (PACMA);PACMA
GIRONA;4;PER UN MON MES JUST (PUM+J);PUM+J
GIRONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ (ERC-CatSÍ);ERC-CatSí
GIRONA;6;CIUTADANS-PARTIDO DE LA CIUDADANIA (C’s);C’s
GIRONA;7;DIÀLEG REPUBLICÀ (DIÀLEG);DIÀLEG
GIRONA;8;CANDIDATURA D’UNITAT POPULAR (CUP);CUP
GIRONA;9;CATALUNYA EN COMÚ-PODEM (CatComú-Podem);CatComú-Podem
GIRONA;10;JUNTS PER CATALUNYA (JUNTSxCAT);JUNTSxCAT
GIRONA;11;RECORTES CERO-GRUPO VERDE (RECORTES CERO-GRUPO VERDE);RECORTES CERO-GRUPO VERDE
