PROVINCIA;NUM.CAND.;PARTIDO;SIGLAS
LLEIDA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
LLEIDA;2;PARTIDO POPULAR/ PARTIT POPULAR (PP);PP
LLEIDA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL (PACMA);PACMA
LLEIDA;4;CIUTADANS-PARTIDO DE LA CIUDADANÍA (C’s);C’s
LLEIDA;5;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SI (ERC-CatSí);ERC-CatSí
LLEIDA;6;CANDIDATURA D’UNITAT POPULAR (CUP);CUP
LLEIDA;7;JUNTS PER CATALUNYA (JUNTSxCAT);JUNTSxCAT
LLEIDA;8;PER UN MÓN MÉS JUST (PUM+J);PUM+J
LLEIDA;9;CATALUNYA EN COMÚ-PODEM (CatComú-Podem);CatComú-Podem
LLEIDA;10;DIÀLEG REPUBLICÀ (DIÀLEG);DIÀLEG
LLEIDA;11;RECORTES CERO-GRUPO VERDE (RECORTES CERO-GRUPO VERDE);RECORTES CERO-GRUPO VERDE
