PROVINCIA;NUM.CAND.;PARTIDO;SIGLAS
TARRAGONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
TARRAGONA;2;PARTIDO POPULAR;PP
TARRAGONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL-PACMA;PACMA
TARRAGONA;4;CIUDADANOS;C’s
TARRAGONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ;ERC-CatSí
TARRAGONA;6;CANDIDATURA D’UNITAT POPULAR;CUP
TARRAGONA;7;DIÀLEG REPUBLICÀ;DIÀLEG
TARRAGONA;8;JUNTS PER CATALUNYA;JUNTSxCAT
TARRAGONA;9;PER UN MON MES JUST;PUM+J
TARRAGONA;10;CATALUNYA EN COMÚ-PODEM;CatComú-Podem
TARRAGONA;11;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GRUPO VERDE
TARRAGONA;12;CIUDADANOS LIBRES UNIDOS;CILUS
