PROVINCIA;NUM.CAND.;PARTIDO;SIGLAS
BARCELONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
BARCELONA;2;PARTIT POPULAR/PARTIDO POPULAR;PP
BARCELONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;PACMA
BARCELONA;4;CIUTADANS-PARTIDO DE LA CIUDADANIA;C’s
BARCELONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ;ERC-CatSí
BARCELONA;6;DIÀLEG REPUBLICÀ;DIÀLEG
BARCELONA;7;CANDIDATURA D’UNITAT POPULAR;CUP
BARCELONA;8;PER UN MÓN MÉS JUST;PUM+J
BARCELONA;9;CATALUNYA EN COMÚ-PODEM;CatComú-Podem
BARCELONA;10;JUNTS PER CATALUNYA;JUNTSxCAT
BARCELONA;11;LA FAMILIA PAZ Y LIBERTAD;LA FAMILIA
BARCELONA;12;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GRUPO VERDE
BARCELONA;13;DEMOCRACIA NACIONAL;DN
BARCELONA;14;PARTIT FAMILIA i VIDA;PFiV
BARCELONA;15;CONVERGENTS;CNV
BARCELONA;16;UNIDOS y SOCIALISTAS+por la Democracia;UNIDOS-DEf-Socialistas
GIRONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
GIRONA;2;PARTIT POPULAR / PARTIDO POPULAR (PP);PP
GIRONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL (PACMA);PACMA
GIRONA;4;PER UN MON MES JUST (PUM+J);PUM+J
GIRONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ (ERC-CatSÍ);ERC-CatSí
GIRONA;6;CIUTADANS-PARTIDO DE LA CIUDADANIA (C’s);C’s
GIRONA;7;DIÀLEG REPUBLICÀ (DIÀLEG);DIÀLEG
GIRONA;8;CANDIDATURA D’UNITAT POPULAR (CUP);CUP
GIRONA;9;CATALUNYA EN COMÚ-PODEM (CatComú-Podem);CatComú-Podem
GIRONA;10;JUNTS PER CATALUNYA (JUNTSxCAT);JUNTSxCAT
GIRONA;11;RECORTES CERO-GRUPO VERDE (RECORTES CERO-GRUPO VERDE);RECORTES CERO-GRUPO VERDE
LLEIDA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
LLEIDA;2;PARTIDO POPULAR/ PARTIT POPULAR (PP);PP
LLEIDA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL (PACMA);PACMA
LLEIDA;4;CIUTADANS-PARTIDO DE LA CIUDADANÍA (C’s);C’s
LLEIDA;5;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SI (ERC-CatSí);ERC-CatSí
LLEIDA;6;CANDIDATURA D’UNITAT POPULAR (CUP);CUP
LLEIDA;7;JUNTS PER CATALUNYA (JUNTSxCAT);JUNTSxCAT
LLEIDA;8;PER UN MÓN MÉS JUST (PUM+J);PUM+J
LLEIDA;9;CATALUNYA EN COMÚ-PODEM (CatComú-Podem);CatComú-Podem
LLEIDA;10;DIÀLEG REPUBLICÀ (DIÀLEG);DIÀLEG
LLEIDA;11;RECORTES CERO-GRUPO VERDE (RECORTES CERO-GRUPO VERDE);RECORTES CERO-GRUPO VERDE
TARRAGONA;1;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);PSC
TARRAGONA;2;PARTIDO POPULAR;PP
TARRAGONA;3;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL-PACMA;PACMA
TARRAGONA;4;CIUDADANOS;C’s
TARRAGONA;5;ESQUERRA REPUBLICANA-CATALUNYA SÍ;ERC-CatSí
TARRAGONA;6;CANDIDATURA D’UNITAT POPULAR;CUP
TARRAGONA;7;DIÀLEG REPUBLICÀ;DIÀLEG
TARRAGONA;8;JUNTS PER CATALUNYA;JUNTSxCAT
TARRAGONA;9;PER UN MON MES JUST;PUM+J
TARRAGONA;10;CATALUNYA EN COMÚ-PODEM;CatComú-Podem
TARRAGONA;11;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GRUPO VERDE
TARRAGONA;12;CIUDADANOS LIBRES UNIDOS;CILUS
