MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
ABRERA;COLEGIO PUBLICO FCO. PLATON SARTI;C SALVADOR ESPRIU NUM: 3, ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;COLEGIO PUBLICO FCO. PLATON SARTI;C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;IES VOLTRERA;PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;CASAL SOCIAL DEL BARRI DEL REBATO;C REBATO NUM: 75,ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;DEL BARRIO DE CA N'AMAT;C ANETO NUM: 1 B,CA N'AMAT ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;COLEGIO PUBLICO FCO. PLATON SARTI;C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
ABRERA;CASAL SOCIAL DE CAN VILALBA;AV CIRCUMVAL·LACIÓ NUM: 3,CAN VILALBA ENTITAT EST D'ABRERA 08630 ABRERA
ABRERA;CASAL SOCIAL DE STA Mª DE VILALBA;C MAJOR DE SANTA MARIA DE VILALBA NUM: 13,SANTA MARIA DE VILALBA I CAN TORRES ENTITAT EST D'ABRERA 08630 ABRERA
ABRERA;IES VOLTRERA;PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
AGUILAR DE SEGARRA;AJUNTAMENT;C RAVAL S/N,08256 AGUILAR DE SEGARRA
ALELLA;COL.LEGI PUBLIC FABRA;AV FERRAN FABRA NUM: 1,CASC URBA 08328 ALELLA
ALELLA;EDIFICI LA GAVINA;C FONT NUM: 1,ALELLA DE MAR 08328 ALELLA
ALELLA;POLIESPORTIU ABELARDO VERA;PG CREU DE PEDRA NUM: 29,EIXAMPLE 08328 ALELLA
ALELLA;OFICINA DE SERVEIS SOCIALS D'ALELLA;C TORRENT DE VALLBONA NUM: 75,GARROFERS (ELS) 08328 ALELLA
ALPENS;ESCOLA PUBLICA LA FORJA;C LLUÇANESA NUM: 8,08587 ALPENS
AMETLLA DEL VALLÈS (L');COL.LEGI PUBLIC BERTI;C ANTIC CAMÍ DE CALDES NUM: 43,08480 AMETLLA DEL VALLÈS (L')
ARENYS DE MAR;CASA CONSISTORIAL;RIERA BISBE POL NUM: 8,08350 ARENYS DE MAR
ARENYS DE MAR;EDIFICI CALISAY;RIERA PARE FITA NUM: 31,08350 ARENYS DE MAR
ARENYS DE MAR;CASAL PARROQUIAL;C BONAIRE NUM: 3,08350 ARENYS DE MAR
ARENYS DE MAR;EDIFICI CALISAY;RIERA PARE FITA NUM: 31,08350 ARENYS DE MAR
ARENYS DE MUNT;PLANTA BAIXA AJUNTAMENT;RBLA FRANCESC MACIÀ NUM: 59,08358 ARENYS DE MUNT
ARENYS DE MUNT;MERCAT MUNICIPAL;RBLA SANT MARTÍ NUM: 17,08358 ARENYS DE MUNT
ARENYS DE MUNT;SALA D'EXPOSICIONS AJUNTAMENT;RBLA FRANCESC MACIÀ NUM: 66,08358 ARENYS DE MUNT
ARGENÇOLA;LOCAL SOCIAL D'ARGENÇOLA;C SOR TERESA JORNET S/N,08717 ARGENÇOLA
ARGENTONA;ANTIC AJUNTAMENT;C GRAN NUM: 61,08310 ARGENTONA
ARGENTONA;ESCOLA BERNAT DE RIUDEMEIA;C DOCTOR SAMSÓ (DEL) NUM: 2,08310 ARGENTONA
ARGENTONA;ESCOLA SANT MIQUEL DEL CROS;AV MEDITERRANI (DEL) S/N,VEÏNAT DE SANT MIQUEL DEL CROS 08310 ARGENTONA
ARGENTONA;ANTIC AJUNTAMENT;C GRAN NUM: 61,08310 ARGENTONA
ARGENTONA;NOVES DEPENDÈNCIES MUNICIPALS;C GRAN NUM: 59,08310 ARGENTONA
ARGENTONA;ESCOLA LES FONTS;C ABAT ESCARRÉ (DE L') NUM: 49,08310 ARGENTONA
ARGENTONA;EDIFICI VELCRO;C ENRIC GRANADOS (D') NUM: 5,08310 ARGENTONA
ARTÉS;COMPLEX CULTURAL CAL SITJES;C PARRES LES NUM: 44,08271 ARTÉS
ARTÉS;ESCOLA DR. FERRER;C BARCELONA NUM: 23,08271 ARTÉS
ARTÉS;CRUÏLLA D'ENTITATS;PG DIAGONAL S/N,08271 ARTÉS
ARTÉS;COMPLEX CULTURAL CAL SITJES;C PARRES LES NUM: 44,08271 ARTÉS
AVIÀ;SALA D'EXPOSICIONS DE L'ATENEU;AV PAU CASALS NUM: 22,08610 AVIÀ
AVINYÓ;COL.LEGI PUBLIC BARNOLA;C INDUSTRIA NUM: 6,08279 AVINYÓ
AVINYONET DEL PENEDÈS;ANTIGA ESCOLA PUBLICA D'AVINYONET;PL VILA (DE LA) NUM: 1,AVINYÓ NOU 08793 AVINYONET DEL PENEDÈS
AIGUAFREDA;EDIFICI DE L'AJUNTAMENT;PL AJUNTAMENT NUM: 1,08591 AIGUAFREDA
BADALONA;ESPAI BETÚLIA;C/ ENRIC BORRAS NUM: 43,08912 BADALONA
BADALONA;ESCOLA LLEVANT;AVGDA MARTI PUJOL NUM: 110,08911 BADALONA
BADALONA;ESPAI BETÚLIA;C/ ENRIC BORRAS NUM: 43,08912 BADALONA
BADALONA;ESCOLA LLEVANT;AVGDA MARTI PUJOL NUM: 110,08911 BADALONA
BADALONA;ESCOLES MINGUELLA;C/ SANTA MADRONA NUM: 75,08911 BADALONA
BADALONA;ESCOLA JUNGFRAU;C/ VILA I VALL-LLEBRERA S/N,08912 BADALONA
BADALONA;CENTRE CÍVIC DALT DE LA VILA;C/ GERMA BERNABE NUM: 1,08911 BADALONA
BADALONA;CENTRE CÍVIC CAN CABANYES;RBLA SANT JOAN NUM: 59,08917 BADALONA
BADALONA;INSTITUT LA PINEDA;C/ BATLLORIA S/N,08917 BADALONA
BADALONA;CENTRE CÍVIC DALT DE LA VILA;C/ GERMA BERNABE NUM: 1,08911 BADALONA
BADALONA;INSTITUT LA PINEDA;C/ BATLLORIA S/N,08917 BADALONA
BADALONA;ESCOLA JOAN LLONGUERAS;AVGDA PUIGFRED S/N,08917 BADALONA
BADALONA;INSTITUT LA PINEDA;C/ BATLLORIA S/N,08917 BADALONA
BADALONA;ESCOLA JOAN LLONGUERAS;AVGDA PUIGFRED S/N,08917 BADALONA
BADALONA;ESCOLA JOSEP BOADA;AVGDA MARQUES DE MONTROIG NUM: 169,08912 BADALONA
BADALONA;COL·LEGI SALESIÀ SANT DOMÈNEC SAVIO;C/ ALFONS XII NUM: 111,08912 BADALONA
BADALONA;ESCOLA PROGRÉS;C/ EDUARD MARISTANY NUM: 104,08912 BADALONA
BADALONA;COL·LEGI SALESIÀ SANT DOMÈNEC SAVIO;C/ ALFONS XII NUM: 111,08912 BADALONA
BADALONA;ESCOLA PROGRÉS;C/ EDUARD MARISTANY NUM: 104,08912 BADALONA
BADALONA;COL·LEGI SALESIÀ SANT DOMÈNEC SAVIO;C/ ALFONS XII NUM: 111,08912 BADALONA
BADALONA;ESPAI BETÚLIA;C/ ENRIC BORRAS NUM: 43,08912 BADALONA
BADALONA;ESCOLA JOSEP BOADA;AVGDA MARQUES DE MONTROIG NUM: 169,08912 BADALONA
BADALONA;COL·LEGI SALESIÀ SANT DOMÈNEC SAVIO;C/ ALFONS XII NUM: 111,08912 BADALONA
BADALONA;ESCOLA PROGRÉS;C/ EDUARD MARISTANY NUM: 104,08912 BADALONA
BADALONA;ESCOLA PLANAS I CASALS;C/ MUNTANER NUM: 2,08917 BADALONA
BADALONA;INSTITUT ISAAC ALBÉNIZ;. PARC SERENTILL S/N,08915 BADALONA
BADALONA;ESCOLA SALVADOR ESPRIU;C/ REINA ELISENDA S/N,08915 BADALONA
BADALONA;CASAL ANTÒNIA BOADA;PL ANTONIA BOADA I ROS S/N,08915 BADALONA
BADALONA;ESCOLA BOIX;C/ RUBIO I ORS NUM: 16,08915 BADALONA
BADALONA;ESCOLA SALVADOR ESPRIU;C/ REINA ELISENDA S/N,08915 BADALONA
BADALONA;INSTITUT ISAAC ALBÉNIZ;. PARC SERENTILL S/N,08915 BADALONA
BADALONA;ESCOLA SALVADOR ESPRIU;C/ REINA ELISENDA S/N,08915 BADALONA
BADALONA;CASAL ANTÒNIA BOADA;PL ANTONIA BOADA I ROS S/N,08915 BADALONA
BADALONA;ESCOLA SALVADOR ESPRIU;C/ REINA ELISENDA S/N,08915 BADALONA
BADALONA;INSTITUT ISAAC ALBÉNIZ;. PARC SERENTILL S/N,08915 BADALONA
BADALONA;ESCOLA SALVADOR ESPRIU;C/ REINA ELISENDA S/N,08915 BADALONA
BADALONA;ESCOLA PLANAS I CASALS;C/ MUNTANER NUM: 2,08917 BADALONA
BADALONA;ESCOLES MINGUELLA;C/ SANTA MADRONA NUM: 75,08911 BADALONA
BADALONA;CASAL CAN MERCADER-CASAGEMES;PL LLUIS SOLA ESCOFET NUM: 15,08911 BADALONA
BADALONA;ESCOLA ARTUR MARTORELL;C/ SEU D'URGELL NUM: 34,08911 BADALONA
BADALONA;ESCOLA LOLA ANGLADA;RIERA CANYADO NUM: 53,08911 BADALONA
BADALONA;CASAL CAN MERCADER-CASAGEMES;PL LLUIS SOLA ESCOFET NUM: 15,08911 BADALONA
BADALONA;CASAL BONAVISTA-CANYET (LOCAL 5);C/ ELISEU MEIFREN NUM: 48,08916 BADALONA
BADALONA;AV DE CANYET DE BADALONA;RIERA CANYET NUM: 27 B,08916 BADALONA
BADALONA;ASSOCIACIÓ DE PROPIETARIS MAS RAM;PASEO PONT S/N,08916 BADALONA
BADALONA;ESCOLA PLANAS I CASALS;C/ MUNTANER NUM: 2,08917 BADALONA
BADALONA;ESCOLA SANT JORDI;AVGDA SABADELL S/N,08915 BADALONA
BADALONA;ESCOLA MARGARIDA XIRGU;C/ TORI S/N,08914 BADALONA
BADALONA;INSTITUT BADALONA VII;C/ AUSIAS MARC NUM: 86,08912 BADALONA
BADALONA;INSTITUT ENRIC BORRÀS;PTGE ENCANTS S/N,08917 BADALONA
BADALONA;INSTITUT BADALONA VII;C/ AUSIAS MARC NUM: 86,08912 BADALONA
BADALONA;ESCOLA FELIU I VEGUÉS;C/ SIRIUS NUM: 2,08914 BADALONA
BADALONA;ESCOLA ALEXANDRE GALÍ;AVGDA MARQUES DE SANT MORI NUM: 251,08914 BADALONA
BADALONA;ESCOLA JOAN MIRÓ;PL ALCALDE MANENT NUM: 1,08917 BADALONA
BADALONA;INSTITUT ENRIC BORRÀS;PTGE ENCANTS S/N,08917 BADALONA
BADALONA;ESCOLA LLORENS ARTIGAS;AVGDA CATALUNYA NUM: 20,08917 BADALONA
BADALONA;ESCOLA JOAN MIRÓ;PL ALCALDE MANENT NUM: 1,08917 BADALONA
