COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
08001|ABRERA|01|001||A|A F|COLEGIO PUBLICO FCO. PLATON SARTI|C SALVADOR ESPRIU NUM: 3, ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|001||B|G M|COLEGIO PUBLICO FCO. PLATON SARTI|C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|001||C|N Z|COLEGIO PUBLICO FCO. PLATON SARTI|C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|002||A|A F|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|002||B|G M|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|002||C|N Z|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|003||U|A Z|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|004|01|A|A Z|CASAL SOCIAL DEL BARRI DEL REBATO|C REBATO NUM: 75,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|004|02|B|A Z|DEL BARRIO DE CA N'AMAT|C ANETO NUM: 1 B,CA N'AMAT ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|005||A|A K|COLEGIO PUBLICO FCO. PLATON SARTI|C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|005||B|L Z|COLEGIO PUBLICO FCO. PLATON SARTI|C SALVADOR ESPRIU NUM: 3,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|007|01|A|A K|CASAL SOCIAL DE CAN VILALBA|AV CIRCUMVAL·LACIÓ NUM: 3,CAN VILALBA ENTITAT EST D'ABRERA 08630 ABRERA
08001|ABRERA|01|007|01|B|L Z|CASAL SOCIAL DE CAN VILALBA|AV CIRCUMVAL·LACIÓ NUM: 3,CAN VILALBA ENTITAT EST D'ABRERA 08630 ABRERA
08001|ABRERA|01|007|02|C|A Z|CASAL SOCIAL DE STA Mª DE VILALBA|C MAJOR DE SANTA MARIA DE VILALBA NUM: 13,SANTA MARIA DE VILALBA I CAN TORRES ENTITAT EST D'ABRERA 08630 ABRERA
08001|ABRERA|01|008||A|A K|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
08001|ABRERA|01|008||B|L Z|IES VOLTRERA|PG ESTACIÓ NUM: 18,ENTITAT OEST D'ABRERA 08630 ABRERA
