MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
ABELLA DE LA CONCA;EDIFICI MUNICIPAL;CARRER ESPIGUET, S/N
AGER;AJUNTAMENT D'AGER;PLAÇA MAJOR, 1
AGRAMUNT;COL·LEGI PUBLIC MACIA COMPANYS;AV D'AGUSTI ROS, 3
AITONA;SALA ANNEXA AL POLIESPORTIU;CARRER JOAN XXIII, 30
AITONA;LLAR DELS JUBILATS;CARRER JOAN XXIII, 30
ALAMUS (ELS);VESTIBUL DEL CASAL SOCIAL, PORTA PRINCIPAL;PLAÇA SANT MARTI, 1
ALAS I CERC;AJUNTAMENT D'ALAS I CERC;CARRER MAJOR, 10 -ALAS-
ALBAGES (L');AJUNTAMENT;CARRER SANTIAGO ROSSINYOL, 9
ALBATARREC;CASAL CULTURAL;CARRER DOCTOR ROBERT, 51
ALBESA;COL·LEGI ALBER;CARRER FERMI PALAU, S/N
ALBI (L');AJUNTAMENT PLANTA BAIXA;CARRER ABEURADOR, 1
ALCANO;SALA D'ACTES DE L'AJUNTAMENT;CARRER MAJOR, 13
ALCARRAS;CENTRE CULTURAL MUNICIPAL;CARRER MAJOR, 84
ALCOLETGE;VESTIBUL DE LA CASA DE LA VILA;CARRER SITJAR, 2
ALCOLETGE;SALA D'EXPOSICIONS, CASA DE LA VILA;CARRER NOU, 1
ALFARRAS;SALA DE PLENS DE L'AJUNTAMENT;AV DE CATALUNYA, 16
ALFES;CASA CONSISTORIAL;PLAÇA LA BASSA, 10
ALGERRI;COL·LEGI SANT BLAI;CTRA BALAGUER, S/N
ALGUAIRE;CAMERA AGRARIA;CARRER PATI, 10
ALGUAIRE;CASA SOCIO CULTURAL;PLAÇA PERETO, 1
ALINS;SALO D'ALINS - EDIFICI AJUNTAMENT;PLAÇA AJUNTAMENT, S/N
ALMACELLES;CASAL MUNICIPAL;CARRER MAJOR, 36
ALMACELLES;COL·LEGI PUBLIC;PLAÇA ENSENYANÇA, 4
ALMATRET;SALA PLANTA BAIXA AJUNTAMENT;CARRER MAJOR, 2
ALMENAR;ESCOLA D'ALMENAR;CARRER ESCOLES, 1
ALOS DE BALAGUER;CASAL SOCIAL;PLAÇA MAJOR, S/N
ALPICAT;SALA LA UNIO;CARRER LLEIDA, 22
ALT ANEU;SALA D'ACTES DE L'AJUNTAMENT D'ALT ANEU;AVGDA DEL PORT DE LA BONAIGUA, 9 -VALENCIA D'ANEU-
ANGLESOLA;EDIFICI DEL COL·LEGI PUBLIC;AV CATALUNYA, 28
ARBECA;LOCAL SOCIAL;PLAÇA UNIO REPUBLICANA, S/N
ARRES;AJUNTAMENT DE ARRES-EDIFICI ESCOLES;CARRER MAJOR, S/N -ARRES DE JOS-
ARSEGUEL;LOCAL SOCIAL;CARRER DOCTOR LLANGORT, 1
ARTESA DE LLEIDA;COL·LEGI PUBLIC 'ELS TIL·LERS';CARRER DE SANT RAMON, 12
ARTESA DE SEGRE;CENTRE D'ENTITATS LES MONGES;PLAÇA DE LA NACIO CATALANA, 2
ASPA;SALA DE L'AJUNTAMENT;PLAÇA DE LA VILA, 8
AVELLANES I SANTA LINYA (LES);SALA D'ACTES DE L'AJUNTAMENT;CARRER BAIXADA ESGLESIA, 3 -LES AVELLANES-
BAIX PALLARS;AJUNTAMENT - BAIXOS;CARRER SANT SEBASTIA, 1 -GERRI DE LA SAL-
BALAGUER;AJUNTAMENT;PLAÇA MERCADAL, 1
BALAGUER;ESCOLES LA NOGUERA;CTRA DE CASTELLO, S/N
BALAGUER;EDIFICI LA PALLA VA CARA;CARRER PINTOR FBORRAS, 21
BALAGUER;CENTRE OBERT LA NOGUERA;CARRER MONTERO, S/N
BALAGUER;GUARDERIA PATUFET;CARRER JACINT VERDAGUER, S/N
BALAGUER;EDIFICI IES CIUTAT DE BALAGUER;CARRER URGELL, 94
BALAGUER;HOSPITAL COMTE JAUME D'URGELL;AV PERE III, 1
BALAGUER;COL·LEGI GERMANES CARMELITES;CARRER PARE SANAHUJA, S/N
BALAGUER;COL·LEGI PARES ESCOLAPIS;CARRER BARCELONA, S/N
BARBENS;BAIXOS AJUNTAMENT;PLAÇA L'ESGLESIA, 3
BARONIA DE RIALB (LA);AJUNTAMENT;CARRER MONESTIR, 1 -GUALTER-
BASSELLA;AJUNTAMENT;CAL AJUNTAMENT, S/N
BAUSEN;CASA ESCOLA DE BAUSEN;CARRER SANT ANTONI, 7
BELIANES;AJUNTAMENT DE BELIANES;AJUNTAMENT, S/N
BELL-LLOC D'URGELL;EDIFICI COSTERETA;PLAÇA CATALUNYA, 1
BELL-LLOC D'URGELL;EDIFICI SALA CULTURAL;CARRER LA MINA, 12
BELLAGUARDA;EDIFICI AJUNTAMENT;PLAÇA ESCOLES, 10
BELLCAIRE D'URGELL;COL·LEGI PUBLIC BONAVISTA;CARRER BONAVISTA, 26
BELLMUNT D'URGELL;CASA CONSISTORIAL;CARRER MAJOR, 18
BELLPUIG;CASAL D'ENTITATS CASA CARME SERRA;PLAÇA SANT ROC, 23
BELLVER DE CERDANYA;EDIFICI DEL CENTRE CIVIC;CARRER ESCOLES, 6
BELLVIS;AJUNTAMENT;PLAÇA CATALUNYA, S/N
BELLVIS;AJUNTAMENT;CARRER DOMENEC CARDENAL, 48
BENAVENT DE SEGRIA;AJUNTAMENT;PLAÇA AJUNTAMENT, 1
BIOSCA;ESCOLA PUBLICA SANTS ABDON I SENEN;CARRER CAMINOU, S/N
BORDES (ES);LOCAL DEL COL·LEGI PUBLIC D'ES BORDES;CARRER DERA LACA, 23
BORGES BLANQUES (LES);PAVELLO DE L'OLI;CARRER INDUSTRIA, 9
BOSSOST;COL·LEGI D'EDUCACIO INFANTIL;CARRER MARGALIDA, S/N
BOVERA;AJUNTAMENT-PLANTA BAIXA (SALA JUBILATS);CARRER MAJOR, 20
CABANABONA;AJUNTAMENT-BAIXOS;CARRER VILALTA, 7
CABO;CASA CONSISTORIAL;CARRER ESGLESIA, S/N
CAMARASA;CASA DE LA VILA;PLAÇA MAJOR, 1
CANEJAN;CASA CONSISTORIAL;PLAÇA DERA CRASTA, 5
CASTELL DE MUR;CASA CONSISTORIAL - GUARDIA DE TREMP;CARRER CARME, 46 -GUARDIA DE NOGUERA-
CASTELLAR DE LA RIBERA;AJUNTAMENT;CASA AJUNTAMENT, S/N
CASTELLDANS;AJUNTAMENT - (VESTIBUL);PG MORAGUES, 21
CASTELLNOU DE SEANA;ESCOLA PUBLICA L'ESTEL;CARRER CALVARI, 1
CASTELLO DE FARFANYA;COL·LEGI PUBLIC STAMARIA;PLAÇA SANT ANTONI, 1
CASTELLSERA;AJUNTAMENT (LLAR DEL JUBILAT);AV CATALUNYA, 4
CAVA;ANTIGUES ESCOLES MUNICIPALS D'ANSOVELL;PLAÇA ESGLESIA, S/N -ANSOVELL-
CERVERA;BAIXOS AJUNTAMENT;PLAÇA MAJOR, 1
CERVERA;ESCOLES JAUME BALMES;PLAÇA PIUS XII, 1
CERVERA;ESCOLES MOSSEN JOSEP ARQUES;AV MIL·LENARI DE CATALUNYA, 22
CERVERA;ANTIGA CASERNA DE LA GUARDIA CIVIL;CARRER DUC D'AHUMADA, 2
CERVERA;INSTITUT DE FORMACIO PROFESSIONAL;AV FRANCESC MACIA, 15
CERVIA DE LES GARRIGUES;CASA CONSISTORIAL 'SALA POLIVALENT';CARRER PALAU, 1
CIUTADILLA;AJUNTAMENT;PLAÇA MAJOR, 1
CLARIANA DE CARDENER;LOCAL DE JOVENTUT;EDIF AJUNTAMENT, S/N
COGUL (EL);AJUNTAMENT;CARRER PLAÇA LA VILA, 4
COLL DE NARGO;SALA D'ACTES;PLAÇA L'AJUNTAMENT, 1
COMA I LA PEDRA (LA);CASA CONSISTORIAL;PLAÇA AJUNTAMENT, 1 -LA COMA-
CONCA DE DALT;OFICINES MUNICIPALS AJUNTAMENT;CARRER UNIC, S/N -EL PONT DE CLAVEROL-
CORBINS;AJUNTAMENT (SALA D'ACTES);PLAÇA DE LA VILA, S/N
CUBELLS;COL·LEGI PUBLIC 'SOL NAIXENT';CARRER CARRETERA NOVA, S/N
ESPLUGA CALBA (L');AJUNTAMENT - PLANTA BAIXA;AV PAU CASALS, 15
