COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25001|ABELLA DE LA CONCA|01|001||U|A Z|EDIFICI MUNICIPAL|CARRER ESPIGUET, S/N
25002|AGER|01|001||U|A Z|AJUNTAMENT D'AGER|PLAÇA MAJOR, 1
25003|AGRAMUNT|01|001||U|A Z|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25003|AGRAMUNT|01|002||U|A Z|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25003|AGRAMUNT|01|003||A|A K|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25003|AGRAMUNT|01|003||B|L Z|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25003|AGRAMUNT|01|004||A|A K|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25003|AGRAMUNT|01|004||B|L Z|COL·LEGI PUBLIC MACIA COMPANYS|AV D'AGUSTI ROS, 3
25004|AITONA|01|001||U|A Z|SALA ANNEXA AL POLIESPORTIU|CARRER JOAN XXIII, 30
25005|AITONA|01|002||U|A Z|LLAR DELS JUBILATS|CARRER JOAN XXIII, 30
25006|ALAMUS (ELS)|01|001||U|A Z|VESTIBUL DEL CASAL SOCIAL, PORTA PRINCIPAL|PLAÇA SANT MARTI, 1
25007|ALAS I CERC|01|001||U|A Z|AJUNTAMENT D'ALAS I CERC|CARRER MAJOR, 10 -ALAS-
25008|ALBAGES (L')|01|001||U|A Z|AJUNTAMENT|CARRER SANTIAGO ROSSINYOL, 9
25009|ALBATARREC|01|001||A|A K|CASAL CULTURAL|CARRER DOCTOR ROBERT, 51
25009|ALBATARREC|01|001||B|L Z|CASAL CULTURAL|CARRER DOCTOR ROBERT, 51
25010|ALBESA|01|001||A|A K|COL·LEGI ALBER|CARRER FERMI PALAU, S/N
25010|ALBESA|01|001||B|L Z|COL·LEGI ALBER|CARRER FERMI PALAU, S/N
25011|ALBI (L')|01|001||U|A Z|AJUNTAMENT PLANTA BAIXA|CARRER ABEURADOR, 1
25012|ALCANO|01|001||U|A Z|SALA D'ACTES DE L'AJUNTAMENT|CARRER MAJOR, 13
