COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
43 1|AIGUAMÚRCIA|01|001|01|A|A Z|SALA MUNICIPAL - AJUNTAMENT|PL SANT BERNAT NUM: 1 - SANTES CREUS - 43815 AIGUAMÚRCIA
43 1|AIGUAMÚRCIA|01|001|02|B|A Z|COL.LEGI PUBLIC LES MORERES|CAMI MAS D'EN PARES (DE) S/N - POBLES (LES) - 43815 AIGUAMÚRCIA
43 2|ALBINYANA|01|001|01|A|A Z|BIBLIOTECA MUNICIPAL (LES PECES)|C PLAÇA (DE LA) NUM: 17 - PECES (LES) - 43716 ALBINYANA
43 2|ALBINYANA|01|001|02|B|A K|CENTRE CIVIC DE BONATERRA 2|C TEIDE NUM: 39 - BONATERRA II - 43716 ALBINYANA
43 2|ALBINYANA|01|001|02|C|L Z|CENTRE CIVIC DE BONATERRA 2|C TEIDE NUM: 39 - BONATERRA II - 43716 ALBINYANA
43 2|ALBINYANA|01|001|03|D|A Z|CEIP “JOAN PERUCHO”|C CARRETERA NUM: 12 - 43716 ALBINYANA
43 3|ALBIOL (L')|01|001||U|A Z|SEU SOCIAL DE MASIES CATALANES|C DRAGO NUM: 15 - MASIES CATALANES - 43479 ALBIOL (L')
43 4|ALCANAR|01|001||A|A L|BAIXOS AJUNTAMENT|C GENERALITAT NUM: 10 - 43530 ALCANAR
43 4|ALCANAR|01|001||B|M Z|BAIXOS AJUNTAMENT|C GENERALITAT NUM: 10 - 43530 ALCANAR
43 4|ALCANAR|01|002||A|A K|BIBLIOTECA|C LORETO NUM: 19 - 43530 ALCANAR
43 4|ALCANAR|01|002||B|L Z|BIBLIOTECA|C LORETO NUM: 19 - 43530 ALCANAR
43 4|ALCANAR|01|003|01|A|A Z|BAIXOS AJUNTAMENT-CASES D'ALCANAR|C JOAN MIRO NUM: 15 - CASES D'ALCANAR (LES) - 43569 ALCANAR
43 4|ALCANAR|01|003|02|B|A Z|BAIXOS AJUNTAMENT-CASES D'ALCANAR|C JOAN MIRO NUM: 15 - CASES D'ALCANAR (LES) - 43569 ALCANAR
43 4|ALCANAR|01|004||A|A K|EDIFICI SERVEIS AGRARIS|AV CATALUNYA NUM: 62 - 43530 ALCANAR
43 4|ALCANAR|01|004||B|L Z|EDIFICI SERVEIS AGRARIS|AV CATALUNYA NUM: 62 - 43530 ALCANAR
43 4|ALCANAR|02|001||A|A K|CASAL JOVE - HOTEL D'ENTITATS|RONDA REMEI (DEL) NUM: 70 - 43530 ALCANAR
43 4|ALCANAR|02|001||B|L Z|CASAL JOVE - HOTEL D'ENTITATS|RONDA REMEI (DEL) NUM: 70 - 43530 ALCANAR
43 4|ALCANAR|02|002||U|A Z|ANTIC ESCORXADOR|C SANT RAMON NUM: 109 - 43530 ALCANAR
43 5|ALCOVER|01|001||A|A F|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 5|ALCOVER|01|001||B|G M|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 5|ALCOVER|01|001||C|N Z|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 5|ALCOVER|02|001||A|A F|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 5|ALCOVER|02|001||B|G M|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 5|ALCOVER|02|001||C|N Z|IES FONTS DEL GLORIETA|C RODES (DE LES) S/N - 43460 ALCOVER
43 6|ALDOVER|01|001||U|A Z|BAIXOS DE L'AJUNTAMENT|PL ESGLESIA NUM: 3 - 43591 ALDOVER
43 7|ALEIXAR (L')|01|001||U|A Z|ESCOLA PUBLICA “TERESA SALVAT”|AV JOAQUIM MIR NUM: 32 - 43381 ALEIXAR (L')
43 8|ALFARA DE CARLES|01|001||U|A Z|CENTRE DE CULTURA|C XERTA NUM: 31 - 43528 ALFARA DE CARLES
43 9|ALFORJA|01|001||A|A K|CASA DE CULTURA SALA D'EXPOSICIONS|C FONT (DE LA) NUM: 56 - 43365 ALFORJA
43 9|ALFORJA|01|001||B|L Z|CASA DE CULTURA SALA D'EXPOSICIONS|C FONT (DE LA) NUM: 56 - 43365 ALFORJA
43 10|ALIÓ|01|001||U|A Z|LOCAL CULTURAL|C MARIA FORTUNY S/N - 43813 ALIÓ
43 11|ALMOSTER|01|001||A|A L|ESCOLA PUBLICA RAMON SUGRAÑES|C REUS NUM: 2 - 43393 ALMOSTER
43 11|ALMOSTER|01|001||B|M Z|ESCOLA PUBLICA RAMON SUGRAÑES|C REUS NUM: 2 - 43393 ALMOSTER
43 12|ALTAFULLA|01|001||A|A L|CASAL MUNICIPAL “LA VIOLETA”|C MARQUES DE TAMARIT NUM: 25 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|001||B|M Z|CASAL MUNICIPAL “LA VIOLETA”|C MARQUES DE TAMARIT NUM: 25 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|002||A|A L|LLAR D'INFANTS “HORT DE PAU”|C CABANA (DE LA) NUM: 2 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|002||B|M Z|LLAR D'INFANTS “HORT DE PAU”|C CABANA (DE LA) NUM: 2 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|003||A|A F|CEIP “LA PORTALADA”|PL PORTALADA (DE LA) NUM: 1 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|003||B|G O|CEIP “LA PORTALADA”|PL PORTALADA (DE LA) NUM: 1 - 43893 ALTAFULLA
43 12|ALTAFULLA|01|003||C|P Z|CEIP “LA PORTALADA”|PL PORTALADA (DE LA) NUM: 1 - 43893 ALTAFULLA
43 13|AMETLLA DE MAR (L')|01|001||A|A K|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|001||B|L Z|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|002||A|A K|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|002||B|L Z|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|003||A|A F|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|003||B|G M|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 13|AMETLLA DE MAR (L')|01|003||C|N Z|IES. VERGE CANDELERA|AV ENSENYAMENT (DE L') NUM: 2 - 43860 AMETLLA DE MAR (L')
43 14|AMPOSTA|01|001||U|A Z|BAIXOS AJUNTAMENT|PL AJUNTAMENT NUM: 4 - 43870 AMPOSTA
43 14|AMPOSTA|01|002|01|A|A Z|CENTRE OBERT|C SALAMANCA NUM: 14 - 43870 AMPOSTA
43 14|AMPOSTA|01|002|02|B|A Z|AJUNTAMENT POBLE NOU|PL JARDI (DEL) NUM: 6 - POBLE NOU DEL DELTA - 43549 AMPOSTA
43 14|AMPOSTA|02|001||U|A Z|EDIFICI “UNIO FILARMONICA”|C MIRALLES NUM: 2 - 43870 AMPOSTA
43 14|AMPOSTA|02|002||U|A Z|CENTRE PARROQUIAL “SANT JOSEP”|C JUAN DE AUSTRIA NUM: 45 - 43870 AMPOSTA
43 14|AMPOSTA|03|001||A|A L|CEIP “SORIANO MONTAGUT”|C I. SORIANO-MONTAGUT NUM: 124 - 43870 AMPOSTA
43 14|AMPOSTA|03|001||B|M Z|CEIP “SORIANO MONTAGUT”|C I. SORIANO-MONTAGUT NUM: 124 - 43870 AMPOSTA
43 14|AMPOSTA|03|002||A|A L|CEIP “SORIANO MONTAGUT”|C I. SORIANO-MONTAGUT NUM: 124 - 43870 AMPOSTA
43 14|AMPOSTA|03|002||B|M Z|CEIP “SORIANO MONTAGUT”|C I. SORIANO-MONTAGUT NUM: 124 - 43870 AMPOSTA
43 14|AMPOSTA|04|001||A|A K|EDIFICI “LA LIRA AMPOSTINA”|C MESTRE CASANOVA NUM: 44 - 43870 AMPOSTA
43 14|AMPOSTA|04|001||B|L Z|EDIFICI “LA LIRA AMPOSTINA”|C MESTRE CASANOVA NUM: 44 - 43870 AMPOSTA
43 14|AMPOSTA|04|002||A|A K|IES “RAMON BERENGUER IV”|C MESTRE SUNYER NUM: 1 - 43870 AMPOSTA
